rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1988	52.5	65.6	70	49.8	65	81.2	75.7	78.9	99.4	25.9	32.9	75.8
1989	18.2	36.3	29	86.8	120.6	168.9	61.4	133.2	57.8	37.9	44.9	17.8
1990	21.8	34.6	16.6	79.1	63	79.2	110.7	59.9	108.1	64.9	63.9	55.8
1991	24.2	53.3	22.3	58.5	78.3	75.2	54.7	97.2	56.8	95.9	56.3	41.2
1992	39.2	31.6	32	55.8	56.6	77.9	75.7	45.6	90.1	117.5	76.6	33.5
1993	26.5	32.3	41.6	30.5	83	83.5	87.7	52.6	66.4	41.2	37.9	68.8
1994	42.8	40.9	64.6	71.1	71.3	68.2	26.7	110.2	99.4	68.9	44.3	62.2
1995	37.5	68.6	46.6	85.5	48	103.9	21.4	73.9	108.8	15.5	45.6	46.5
1996	24.5	39.6	19.9	48.5	109	33.9	67.4	99.9	147.8	72.2	20.6	48.8
1997	13.2	38.6	13.9	56.2	152.7	87.2	177.7	68.9	43.4	55.9	83	60.8
1998	27.8	21.6	35.3	130.5	96.7	163.6	116.4	97.6	98.1	92.9	74.3	52.2
1999	27.8	89.1	21.3	66.5	34.3	100.8	102.8	143	37.9	33.5	79.3	73.2
2000	45	54.9	83.2	76	47.6	32.2	145.7	17.6	96.5	0.4	40.9	59.8
